custom_fields[pid],category,subcategory,group
6ES7194-2LN10-0AB0,PLC,Cable & Wire,Industrial Cable
6ES7157-1AB00-0AB0,PLC,Distributed I/O,Communication Module
6ES7155-5AA00-0AC0,PLC,Distributed I/O,Communication Module
6ES7138-6BA00-0BA0,PLC,Distributed I/O,Function Module
6ES7155-5BA00-0AB0,PLC,Distributed I/O,Communication Module
6ES7136-6PA00-0BC0,PLC,Distributed I/O,I/O Module
6ES7136-6DB00-0CA0,PLC,Distributed I/O,I/O Module
6ES7136-6BA00-0CA0,PLC,Distributed I/O,I/O Module
6ES7193-6LR10-0AG0,PLC,Marking & Labeling,Equipment Marking
6ES7137-6BD00-0BA0,PLC,Distributed I/O,Communication Module
6ES7137-6AA00-0BA0,PLC,Distributed I/O,Communication Module
6ES7144-6KD50-0AB0,PLC,Distributed I/O,I/O Module
6ES7193-6AR00-0AA0,PLC,Distributed I/O,Communication Module
6ES7193-6BP00-0DA0,PLC,PLC Hardware,PLC Accessories
6ES7193-6LR10-0AA0,PLC,Marking & Labeling,Equipment Marking
6ES7154-8FX00-0AB0,PLC,Distributed I/O,CPU
6ES7151-7AA21-0AB0,PLC,Distributed I/O,CPU
6ES7143-4BF00-0AA0,PLC,Distributed I/O,I/O Module
6ES7131-4RD02-0AB0,PLC,Distributed I/O,I/O Module
6ES7138-4DD01-0AB0,PLC,Distributed I/O,Function Module
6ES7153-4BA00-0XB0,PLC,Distributed I/O,Communication Module
6ES7138-4DC01-0AB0,PLC,Distributed I/O,Function Module
6ES7154-8AB01-0AB0,PLC,Distributed I/O,CPU
6ES7154-8FB01-0AB0,PLC,Distributed I/O,CPU
6ES7131-4CD02-0AB0,PLC,Distributed I/O,I/O Module
6ES7154-2AA01-0AB0,PLC,Distributed I/O,Communication Module
6ES7154-1AA01-0AB0,PLC,Distributed I/O,Communication Module
6ES7141-4BH00-0AA0,PLC,Distributed I/O,I/O Module
6ES7132-4BD30-0AB0,PLC,Distributed I/O,I/O Module
6ES7132-4BD00-0AB0,PLC,Distributed I/O,I/O Module
6ES7148-6JA00-0AB0,PLC,Distributed I/O,Communication Module
6ES7151-3BB23-0AB0,PLC,Distributed I/O,Communication Module
6ES7144-6KD00-0AB0,PLC,Distributed I/O,I/O Module
6ES7145-6HD00-0AB0,PLC,Distributed I/O,I/O Module
6ES7174-0AA10-0AA0,PLC,PLC Hardware,Function Module
6ES7153-4AA01-0XB0,PLC,Distributed I/O,Communication Module
6ES7151-3BA23-0AB0,PLC,Distributed I/O,Communication Module
6ES7151-3AA23-0AB0,PLC,Distributed I/O,Communication Module
6ES7132-4BD02-0AA0,PLC,Distributed I/O,I/O Module
6ES7154-4AB10-0AB0,PLC,Distributed I/O,Communication Module
6ES7138-4DB03-0AB0,PLC,Distributed I/O,Function Module
6ES7148-4FS00-0AB0,PLC,Distributed I/O,I/O Module
6ES7132-4BD32-0AA0,PLC,Distributed I/O,I/O Module
6ES7151-1BA02-0AB0,PLC,Distributed I/O,Communication Module
6ES7151-1CA00-3BL0,PLC,Distributed I/O,Communication Module
6ES7151-1CA00-1BL0,PLC,Distributed I/O,Communication Module
6ES7148-4FC00-0AB0,PLC,Distributed I/O,I/O Module
6ES7148-4FA00-0AB0,PLC,Distributed I/O,I/O Module
6ES7194-4AC00-0AA0,PLC,Distributed I/O,Communication Module
6ES7194-4BC00-0AA0,PLC,Distributed I/O,Function Module
6ES7132-4FB01-0AB0,PLC,Distributed I/O,I/O Module
6ES7132-4BB31-0AB0,PLC,Distributed I/O,I/O Module
6ES7132-4BB31-0AA0,PLC,Distributed I/O,I/O Module
6ES7132-4BB01-0AB0,PLC,Distributed I/O,I/O Module
